StationFrom,StationTo,TimeInSec
1016,1016,0
1016,1032,1726
1016,1017,133
1016,1033,1663
1016,1018,646
1016,1034,1399
1016,1019,798
1016,1035,1430
1016,1020,1027
1016,1036,1638
1016,1021,1101
1016,1037,1743
1016,1022,1192
1016,1038,1852
1016,1023,1342
1016,1039,1826
1016,1008,661
1016,1024,1440
1016,1009,174
1016,1025,1400
1016,1010,249
1016,1026,1620
1016,1011,561
1016,1027,1862
1016,1012,591
1016,1028,2053
1016,1013,477
1016,1029,1736
1016,1014,807
1016,1030,1552
1016,1015,593
1016,1031,1671
1016,1049,1036
1016,1001,550
1016,1048,1473
1016,1000,495
1016,1003,520
1016,1002,510
1016,1005,477
1016,1004,587
1016,1007,776
1016,1006,475
1016,1041,1661
1016,1040,1504
1016,1043,1828
1016,1042,1092
1016,1045,1460
1016,1044,1711
1016,1047,1564
1016,1046,1540
1032,1016,1312
1032,1032,0
1032,1017,1373
1032,1033,144
1032,1018,972
1032,1034,453
1032,1019,900
1032,1035,598
1032,1020,840
1032,1036,810
1032,1021,697
1032,1037,719
1032,1022,580
1032,1038,996
1032,1023,376
1032,1039,1088
1032,1008,1651
1032,1024,322
1032,1009,1528
1032,1025,588
1032,1010,1602
1032,1026,301
1032,1011,1914
1032,1027,246
1032,1012,2001
1032,1028,321
1032,1013,1869
1032,1029,169
1032,1014,2160
1032,1030,342
1032,1015,1946
1032,1031,93
1032,1049,1836
1032,1001,2117
1032,1048,1679
1032,1000,2108
1032,1003,2005
1032,1002,2027
1032,1005,2046
1032,1004,1853
1032,1007,1720
1032,1006,1736
1032,1041,888
1032,1040,732
1032,1043,1023
1032,1042,1406
1032,1045,1367
1032,1044,1056
1032,1047,1562
1032,1046,1447
1017,1016,105
1017,1032,1678
1017,1017,0
1017,1033,1615
1017,1018,599
1017,1034,1352
1017,1019,750
1017,1035,1383
1017,1020,980
1017,1036,1591
1017,1021,1054
1017,1037,1695
1017,1022,1145
1017,1038,1894
1017,1023,1294
1017,1039,1806
1017,1008,719
1017,1024,1392
1017,1009,233
1017,1025,1353
1017,1010,307
1017,1026,1572
1017,1011,620
1017,1027,1815
1017,1012,649
1017,1028,2005
1017,1013,504
1017,1029,1688
1017,1014,866
1017,1030,1505
1017,1015,651
1017,1031,1623
1017,1049,1094
1017,1001,608
1017,1048,1500
1017,1000,553
1017,1003,578
1017,1002,569
1017,1005,536
1017,1004,646
1017,1007,835
1017,1006,533
1017,1041,1613
1017,1040,1457
1017,1043,1748
1017,1042,1151
1017,1045,1518
1017,1044,1770
1017,1047,1590
1017,1046,1598
1033,1016,1227
1033,1032,106
1033,1017,1288
1033,1033,0
1033,1018,887
1033,1034,348
1033,1019,815
1033,1035,493
1033,1020,755
1033,1036,705
1033,1021,612
1033,1037,614
1033,1022,495
1033,1038,891
1033,1023,291
1033,1039,983
1033,1008,1546
1033,1024,318
1033,1009,1443
1033,1025,584
1033,1010,1517
1033,1026,401
1033,1011,1829
1033,1027,346
1033,1012,1916
1033,1028,415
1033,1013,1784
1033,1029,269
1033,1014,2075
1033,1030,377
1033,1015,1861
1033,1031,193
1033,1049,1731
1033,1001,2012
1033,1048,1574
1033,1000,2003
1033,1003,1900
1033,1002,1922
1033,1005,1941
1033,1004,1748
1033,1007,1615
1033,1006,1631
1033,1041,783
1033,1040,627
1033,1043,918
1033,1042,1301
1033,1045,1262
1033,1044,951
1033,1047,1457
1033,1046,1342
1018,1016,545
1018,1032,1325
1018,1017,543
1018,1033,1262
1018,1018,0
1018,1034,1143
1018,1019,208
1018,1035,1244
1018,1020,566
1018,1036,1455
1018,1021,700
1018,1037,1476
1018,1022,791
1018,1038,1758
1018,1023,941
1018,1039,1670
1018,1008,1150
1018,1024,978
1018,1009,663
1018,1025,938
1018,1010,738
1018,1026,1158
1018,1011,1050
1018,1027,1461
1018,1012,1137
1018,1028,1566
1018,1013,1004
1018,1029,1274
1018,1014,1296
1018,1030,1107
1018,1015,1082
1018,1031,1270
1018,1049,1525
1018,1001,1039
1018,1048,1961
1018,1000,984
1018,1003,1009
1018,1002,999
1018,1005,967
1018,1004,1076
1018,1007,1265
1018,1006,964
1018,1041,1478
1018,1040,1322
1018,1043,1613
1018,1042,1315
1018,1045,1949
1018,1044,1646
1018,1047,2051
1018,1046,2029
1034,1016,1067
1034,1032,416
1034,1017,1083
1034,1033,353
1034,1018,823
1034,1034,0
1034,1019,751
1034,1035,145
1034,1020,691
1034,1036,468
1034,1021,548
1034,1037,438
1034,1022,446
1034,1038,716
1034,1023,374
1034,1039,683
1034,1008,1265
1034,1024,482
1034,1009,1243
1034,1025,764
1034,1010,1317
1034,1026,628
1034,1011,1629
1034,1027,553
1034,1012,1659
1034,1028,737
1034,1013,1527
1034,1029,496
1034,1014,1875
1034,1030,541
1034,1015,1661
1034,1031,361
1034,1049,1383
1034,1001,1664
1034,1048,1226
1034,1000,1655
1034,1003,1552
1034,1002,1574
1034,1005,1593
1034,1004,1400
1034,1007,1334
1034,1006,1350
1034,1041,491
1034,1040,335
1034,1043,626
1034,1042,1020
1034,1045,914
1034,1044,659
1034,1047,1109
1034,1046,994
1019,1016,659
1019,1032,1241
1019,1017,623
1019,1033,1178
1019,1018,196
1019,1034,1059
1019,1019,0
1019,1035,1160
1019,1020,488
1019,1036,1371
1019,1021,616
1019,1037,1392
1019,1022,707
1019,1038,1674
1019,1023,857
1019,1039,1586
1019,1008,1264
1019,1024,902
1019,1009,777
1019,1025,862
1019,1010,852
1019,1026,1082
1019,1011,1164
1019,1027,1377
1019,1012,1273
1019,1028,1490
1019,1013,1140
1019,1029,1198
1019,1014,1670
1019,1030,1067
1019,1015,1196
1019,1031,1186
1019,1049,1639
1019,1001,1153
1019,1048,2086
1019,1000,1098
1019,1003,1123
1019,1002,1113
1019,1005,1081
1019,1004,1190
1019,1007,1379
1019,1006,1078
1019,1041,1394
1019,1040,1238
1019,1043,1529
1019,1042,1429
1019,1045,2063
1019,1044,1562
1019,1047,2176
1019,1046,2143
1035,1016,1099
1035,1032,594
1035,1017,1114
1035,1033,531
1035,1018,926
1035,1034,177
1035,1019,854
1035,1035,0
1035,1020,794
1035,1036,239
1035,1021,650
1035,1037,344
1035,1022,549
1035,1038,542
1035,1023,519
1035,1039,499
1035,1008,1165
1035,1024,660
1035,1009,1274
1035,1025,920
1035,1010,1072
1035,1026,806
1035,1011,1262
1035,1027,730
